deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,1,1,12,2,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,1,1,47,1,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,1,1,49,9,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,1,1,50,0,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,1,1,62,0,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,1,1,70,0,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,2,1,12,9,13,KAnderson,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,2,1,47,0,13,KAnderson,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,2,1,49,15,13,KAnderson,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,2,1,50,0,13,KAnderson,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,2,1,62,0,13,KAnderson,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,2,1,70,0,13,KAnderson,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,3,1,12,0,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,3,1,47,1,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,3,1,49,3,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,3,1,50,0,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,3,1,62,0,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,3,1,70,0,13,EEng,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,4,1,12,4,13,LKapsenberg,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,4,1,47,0,13,LKapsenberg,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,4,1,49,7,13,LKapsenberg,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,4,1,50,0,13,LKapsenberg,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,4,1,62,0,13,LKapsenberg,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,4,1,70,0,13,LKapsenberg,.,
2007-08-30,2008-01-19,.,KHLX00,exposed,int_mid,tuffy,5,1,12,4,13,KAnderson,.,
