deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,1,1,12,3,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,1,1,47,2,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,1,1,49,22,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,1,1,50,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,1,1,62,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,1,1,70,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,2,1,12,1,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,2,1,47,2,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,2,1,49,23,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,2,1,50,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,2,1,62,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,2,1,70,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,3,1,12,2,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,3,1,47,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,3,1,49,66,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,3,1,50,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,3,1,62,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,3,1,70,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,4,1,12,5,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,4,1,47,2,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,4,1,49,12,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,4,1,50,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,4,1,62,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,4,1,70,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,5,1,12,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,5,1,47,2,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,5,1,49,35,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,5,1,50,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,5,1,62,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMEN00,exposed,int_mid,tuffy,5,1,70,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMES00,exposed,int_mid,tuffy,3,1,12,7,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMES00,exposed,int_mid,tuffy,3,1,47,2,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMES00,exposed,int_mid,tuffy,3,1,49,48,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMES00,exposed,int_mid,tuffy,3,1,50,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMES00,exposed,int_mid,tuffy,3,1,62,0,13,AJohnson,.,
2010-08-12,2011-04-22,.,CMES00,exposed,int_mid,tuffy,3,1,70,0,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,1,1,12,31,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,1,1,47,76,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,1,1,49,452,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,1,1,50,0,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,1,1,62,0,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,1,1,70,0,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,2,1,12,4,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,2,1,47,13,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,2,1,49,302,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,2,1,50,0,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,2,1,62,0,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,2,1,70,0,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,3,1,12,4,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,3,1,47,18,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,3,1,49,474,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,3,1,50,0,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,3,1,62,0,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,3,1,70,0,13,AJohnson,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,4,1,12,7,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,4,1,47,14,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,4,1,49,407,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,4,1,50,0,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,4,1,62,0,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,4,1,70,0,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,5,1,12,11,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,5,1,47,13,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,5,1,49,544,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,5,1,50,0,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,5,1,62,0,13,MDuncan,.,
2010-09-11,2011-01-20,.,MBYX00,exposed,int_mid,tuffy,5,1,70,0,13,MDuncan,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,1,1,12,3,13,AJohnson,.,
2010-10-06,2011-03-25,.,CMRX00,exposed,int_mid,tuffy,1,1,47,13,13,AJohnson,.,
