deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
2002-11-05,2003-03-20,.,BHLX00,exposed,int_mid,tuffy,2,1,49,105.50,5,UNK,.,
2002-11-05,2003-03-20,.,BHLX00,exposed,int_mid,tuffy,3,1,49,78,5,UNK,.,
2002-11-05,2003-03-20,.,BHLX00,exposed,int_mid,tuffy,4,1,49,126,5,UNK,.,
2002-11-05,2003-03-20,.,BHLX00,exposed,int_mid,tuffy,5,1,49,181,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,1,1,12,4,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,1,1,47,2,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,1,1,49,41,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,2,1,12,4,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,2,1,47,1,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,2,1,49,149,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,2,1,50,2,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,2,1,62,2,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,2,1,70,1,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,3,1,12,17,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,3,1,47,5,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,3,1,49,358,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,3,1,62,1,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,4,1,12,11,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,4,1,47,1,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,4,1,49,157,5,UNK,.,
2002-12-02,2003-03-24,.,CARX00,exposed,int_mid,tuffy,4,1,62,2,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,1,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,1,1,47,1,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,1,1,49,181,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,2,1,12,1,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,2,1,47,1,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,2,1,49,155,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,3,1,12,1,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,3,1,47,3,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,3,1,49,37,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,4,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,4,1,47,0,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,4,1,49,44,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,5,1,12,5,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,5,1,47,0,5,UNK,.,
2002-12-02,2003-03-25,.,GHVX00,exposed,int_mid,tuffy,5,1,49,42,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,1,1,12,6,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,1,1,47,9,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,1,1,49,489,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,2,1,12,7,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,2,1,47,2,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,2,1,49,396,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,3,1,12,3,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,3,1,47,7,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,3,1,49,414,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,4,1,12,5,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,4,1,47,16,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,4,1,49,610,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,5,1,12,3,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,5,1,47,3,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_low,tuffy,5,1,49,373,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,1,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,1,1,47,0,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,1,1,49,171,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,2,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,2,1,47,0,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,2,1,49,62,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,3,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,3,1,47,0,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,3,1,49,282,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,4,1,12,1,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,4,1,47,1,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,4,1,49,293,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,5,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,5,1,47,2,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,exposed,int_mid,tuffy,5,1,49,404,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,1,1,12,1,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,1,1,47,7,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,1,1,49,83,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,2,1,12,7,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,2,1,47,1,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,2,1,49,196,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,3,1,12,4,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,3,1,47,4,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,3,1,49,149,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,4,1,12,3,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,4,1,47,6,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,4,1,49,210,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,5,1,12,1,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,5,1,47,2,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_low,tuffy,5,1,49,164,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,1,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,1,1,47,3,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,1,1,49,46,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,2,1,12,1,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,2,1,47,5,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,2,1,49,51,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,3,1,12,3,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,3,1,47,0,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,3,1,49,45,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,4,1,12,5,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,4,1,47,2,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,4,1,49,42,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,5,1,12,2,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,5,1,47,13,5,UNK,.,
2002-12-02,2003-03-25,.,SHLX00,protected,int_mid,tuffy,5,1,49,125,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,1,1,12,3,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,1,1,47,0,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,1,1,49,237,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,2,1,12,17,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,2,1,47,6,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,2,1,49,192,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,4,1,12,5,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,4,1,47,5,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,4,1,49,204,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,5,1,12,10,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,5,1,47,3,5,UNK,.,
2002-12-02,2003-03-25,.,SRKX00,exposed,int_mid,tuffy,5,1,49,196,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,1,1,12,1,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,1,1,47,0,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,1,1,49,221,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,2,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,2,1,47,3,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,2,1,49,480,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,3,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,3,1,47,4,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,3,1,49,251,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,4,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,4,1,47,2,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,4,1,49,221,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,5,1,12,0,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,5,1,47,0,5,UNK,.,
2002-12-02,2003-03-25,.,YBHX00,exposed,int_mid,tuffy,5,1,49,70,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,1,1,12,5,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,1,1,47,1,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,1,1,49,46,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,2,1,12,2,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,2,1,47,3,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,2,1,49,74,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,3,1,12,4,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,3,1,47,2,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,3,1,49,116,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,4,1,12,3,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,4,1,47,1,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,4,1,49,61,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,5,1,12,0,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,5,1,47,1,5,UNK,.,
2002-12-02,2003-03-28,.,CBLX00,exposed,int_mid,tuffy,5,1,49,38,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,1,1,12,0,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,1,1,47,0,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,1,1,49,26,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,2,1,12,2,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,2,1,47,3,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,2,1,49,44,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,3,1,12,0,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,3,1,47,1,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,3,1,49,8,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,4,1,12,2,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,4,1,47,0,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,4,1,49,69,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,5,1,12,4,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,5,1,47,1,5,UNK,.,
2002-12-02,2003-03-28,.,RKPX00,exposed,int_mid,tuffy,5,1,49,12,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,1,1,12,29,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,1,1,47,2,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,1,1,49,175,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,2,1,12,74,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,2,1,47,4,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,2,1,49,377,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,3,1,12,10,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,3,1,47,6,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,3,1,49,118,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,4,1,12,38,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,4,1,47,9,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,4,1,49,372,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,5,1,12,1,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,5,1,47,1,5,UNK,.,
2002-12-02,2003-03-29,.,CMRX00,exposed,int_mid,tuffy,5,1,49,454,5,UNK,.,
2002-12-03,2003-03-20,.,PSGX00,exposed,int_mid,tuffy,1,1,49,83.50,5,UNK,.,
2002-12-03,2003-03-20,.,PSGX00,exposed,int_mid,tuffy,2,1,49,35.50,5,UNK,.,
2002-12-03,2003-03-20,.,PSGX00,exposed,int_mid,tuffy,3,1,49,7,5,UNK,.,
2002-12-03,2003-03-20,.,PSGX00,exposed,int_mid,tuffy,4,1,49,39.50,5,UNK,.,
2002-12-03,2003-03-20,.,PSGX00,exposed,int_mid,tuffy,5,1,49,20.50,5,UNK,.,
2002-12-03,2003-03-21,.,TRHX00,exposed,int_mid,tuffy,1,1,49,177,5,UNK,.,
2002-12-03,2003-03-21,.,TRHX00,exposed,int_mid,tuffy,2,1,49,160,5,UNK,.,
2002-12-03,2003-03-21,.,TRHX00,exposed,int_mid,tuffy,3,1,49,261,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,1,1,12,0,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,1,1,47,1,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,1,1,49,51,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,1,1,62,1,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,2,1,12,3,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,2,1,47,6,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,2,1,49,78,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,3,1,12,1,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,3,1,47,3,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,3,1,49,61,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,3,1,62,1,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,4,1,12,1,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,4,1,47,3,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,4,1,49,54,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,4,1,62,1,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,5,1,12,2,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,5,1,47,2,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_low,tuffy,5,1,49,67,5,UNK,.,
2002-12-03,2003-03-24,.,BBYX00,exposed,int_mid,tuffy,1,1,12,5,5,UNK,.,
