"Block","Jf","Af","Jm","Am"
"S1",0.0165813791628451,0.011303573518429,0.416077124925764,0.0658862572445401
"S2",0.0602392957919462,0.0463276396058216,0.548294942411572,0.155061062619098
"S3",0.0507199310856731,0.0383845911189385,0.528488473771416,0.138338066068681
"S4",0.0537129574335937,0.0408681209797348,0.535009827870297,0.143701748337203
"S5",0.0609839693500065,0.0469542266135242,0.549737770781678,0.156330181187173
"S6",0.0643187355870591,0.0497688497841688,0.556034029399863,0.161950822505942
"S7",0.0541547140218964,0.0412357928372663,0.535947995927205,0.144484780416724
"S8",0.216173930939375,0.187339805676846,0.720631600979011,0.36196835046447
"S9",0.103009335203176,0.083294079772908,0.614968156783568,0.221353324390902
"S10",0.145900791532454,0.121878046127787,0.662507065359982,0.278861260086328
"S11",0.0818983104480208,0.0648191196420679,0.585528000751917,0.190109859604418
"C1",0.125900664134871,0.103731644970596,0.641940045198878,0.252875806297734
"C2",0.0622456049692894,0.0480174274237724,0.552150926947218,0.158468503589225
"C3",0.0926197073693329,0.0741524207695713,0.601140664493883,0.206277628059136
"C4",0.0614855256136794,0.0473766523895101,0.550701765066187,0.157182025707392
"C5",0.0612342339667418,0.0471649665799438,0.550219556807118,0.156755524809187
"C6",0.1285052955496,0.106080476522841,0.644757937038065,0.256334703341396
"C7",0.124873653857783,0.102806739591872,0.640816339821804,0.251505351445016
"C8",0.0617378485055226,0.0475892882873562,0.551184395928928,0.157609687030511
"C9",0.200844038791373,0.172862177583015,0.709382298401766,0.344728254095371
"C10",0.0297824593321993,0.0214450862426581,0.471604105332343,0.0971713938077269
"N1",0.0933663038319024,0.0748062680242989,0.602173904644573,0.207379319726594
"N2",0.22799489854629,0.198569699040487,0.728885141429304,0.374982435468767
"N3",0.110003026994663,0.0894970227679981,0.623669961367007,0.231213498282654
"N4",0.185778346083362,0.158734382810901,0.697648735425303,0.327347982454228
"N5",0.151378798795632,0.126890479303292,0.667750967026308,0.285764589167747
"N6",0.150143955570898,0.125759082159732,0.666582080059673,0.284215894281931
"N7",0.0439468375727058,0.0328161433284879,0.512530742033019,0.125788465812238
"N8",0.0498958300495184,0.0377031435135413,0.526639872586822,0.136842688966734
"N9",0.033952814553314,0.0247492850586533,0.485011280740971,0.105998382128431
"SE1",0.162959569326511,0.13754225711925,0.67836361909736,0.300088162446518
"SE2",0.0874586952460322,0.0696462250645404,0.593813226880248,0.198578294760719
"CE1",0.0802513558016519,0.0633951384447073,0.582989196794732,0.187564761473997
"CE2",0.0832644820866008,0.0660023667782893,0.587603695538018,0.192208006907701
"CE3",0.107315534219485,0.0871088997821768,0.620378996021261,0.22745018802424
"CE4",0.130093868165008,0.107515227978466,0.646454606059519,0.258432709934139
"CE5",0.208384951295746,0.179971416213233,0.714997228734064,0.35326214862395
"NE1",0.189652484115417,0.162357452395318,0.700735479374589,0.331861237198605
"NE2",0.165651079815465,0.140028199484272,0.680744798068275,0.303367438599861
"NE3",0.169078067348342,0.143198906487385,0.683733029173956,0.307516972522774
"NE4",0.125900664134871,0.103731644970596,0.641940045198878,0.252875806297734
"NE5",0.00475496606588011,0.00288429546508207,0.318520872664769,0.0287665096646907
