"Block","Area","Year","Mean","lower","upper","Density","DensityLO","DensityHI"
"S1",86.97,2026,0.514,0.514,0.514,0.00618604116361964,0.00591008393698977,0.00591008393698977
"S1",86.97,2027,0.33,0,1.04999999999995,0.00362193859951707,0,0.0120731286650564
"S1",86.97,2028,0.23,0,0,0.00250661147522134,0,0
"S1",86.97,2029,0.151,0,0,0.00170173623088421,0,0
"S1",86.97,2030,0.117,0,0,0.00105783603541451,0,0
"S1",86.97,2031,0.073,0,0,0.000643900195469702,0,0
"S1",86.97,2032,0.057,0,0,0.000459928711049787,0,0
"S1",86.97,2033,0.027,0,0,0.000252960791077383,0,0
"S1",86.97,2034,0.032,0,0,0.000275957226629872,0,0
"S1",86.97,2035,0.036,0,0,0.00036794296883983,0,0
"S1",86.97,2036,0.044,0,0,0.000597907324364723,0,0
"S1",86.97,2037,0.087,0,0,0.000919857422099575,0,0
"S1",86.97,2038,0.147,0,1,0.00146027365758307,0,0.0114982177762447
"S1",86.97,2039,0.194,0,1,0.00201218811084282,0,0.0114982177762447
"S1",86.97,2040,0.24,0,2,0.0024951132574451,0,0.0229964355524894
"S1",86.97,2041,0.381,0,2,0.00416235483500057,0,0.0229964355524894
"S1",86.97,2042,0.586,0,3.04999999999995,0.00677245027020812,0,0.0350695642175458
"S1",86.97,2043,0.968,0,4,0.0113372427273773,0,0.0459928711049787
"S1",86.97,2044,1.46,0,6,0.0176037714154306,0,0.0689893066574681
"S1",86.97,2045,2.156,0,9,0.0258709899965505,0,0.103483959986202
"S1",86.97,2046,2.808,0,9,0.0337817638266069,0,0.103483959986202
"S1",86.97,2047,3.59,0,12,0.0435782453719673,0,0.137978613314936
"S1",86.97,2048,4.444,0,13.05,0.053052776819593,0,0.150051741979993
"S1",86.97,2049,5.437,0,15,0.0646659767736001,0,0.17247326664367
"S1",86.97,2050,6.597,0,17,0.0779004254340577,0,0.19546970219616
"S2",55.323,2026,0.607,0.607,0.607,0.0102489019033675,0.0109719284926703,0.0109719284926703
"S2",55.323,2027,0.406,0,4,0.00679644993944652,0,0.0723026589302822
"S2",55.323,2028,0.286,0,0.0999999999999091,0.00450084051841006,0,0.00180756647325541
"S2",55.323,2029,0.237,0,0,0.00339822496972326,0,0
"S2",55.323,2030,0.188,0,0,0.00236791207996674,0,0
"S2",55.323,2031,0.138,0,0,0.00175333947905934,0,0
"S2",55.323,2032,0.116,0,0,0.00133759919021022,0,0
"S2",55.323,2033,0.092,0,0,0.000976085895558809,0,0
"S2",55.323,2034,0.078,0,0,0.00131952352547765,0,0
"S2",55.323,2035,0.321,0,2,0.00578421271442257,0,0.0361513294651411
"S2",55.323,2036,0.856,0,4,0.0154004663521501,0,0.0723026589302822
"S2",55.323,2037,1.512,0,6,0.0270773457693907,0,0.108453988395423
"S2",55.323,2038,2.246,0,8,0.0400737487121089,0,0.144605317860564
