"Year","Mean","lower","upper","SEmean","CImeanLo","CImeanHi","ExtnctP"
2026,109.881,68.704625,146.50755,0,109.881,109.881,0
2027,80.8315,49.311025,111.690675,0.491035478751172,79.8690704616477,81.7939295383523,0
2028,66.3195,40.2313,95.807275,0.436725321818781,65.4635183692352,67.1754816307648,0
2029,56.0165,33.139275,82.900125,0.413045213975162,55.2069313806087,56.8260686193913,0
2030,47.906,25.5534,73.2706,0.379736158106881,47.1617171301105,48.6502828698895,0
2031,40.815,20.495525,64.2013,0.34926785927354,40.1304349958239,41.4995650041761,0
2032,34.862,15.289925,56.6954,0.318141204955112,34.238443238288,35.485556761712,0
2033,29.642,11.37255,48.660975,0.295791204716752,29.0622492387552,30.2217507612448,0.2891
2034,25.7035,7.788875,45.296075,0.299033361935672,25.1173946106061,26.2896053893939,0.7089
2035,24.0925,5.275925,49.157575,0.343441068865946,23.4193555050227,24.7656444949773,1.1185
2036,25.3605,4.4577,56.071275,0.421150602390515,24.5350448193146,26.1859551806854,1.4035
2037,28.6415,3.4374,64.18555,0.476189824574222,27.7081679438345,29.5748320561655,1.6029
2038,32.54,3.344475,73.248,0.569125068664861,31.4245148654169,33.6554851345831,1.6936
2039,36.929,3.299075,83.542175,0.662774137698207,35.6299626901115,38.2280373098885,1.7876
2040,41.8315,3.618725,94.572725,0.719812596675922,40.4206673105152,43.2423326894848,1.8306
2041,47.5525,3.796325,109.6163,0.847121046974532,45.8921427479299,49.2128572520701,1.8802
2042,53.581,3.865875,121.818575,0.912147018109826,51.7931918445047,55.3688081554953,2.0829
2043,60.766,4.326825,139.072725,1.06123467068187,58.6859800454635,62.8460199545365,2.0921
2044,68.5365,4.712775,156.05615,1.21684329525383,66.1514871413025,70.9215128586975,2.103
2045,77.1845,4.86375,176.63475,1.3791820788299,74.4813031254934,79.8876968745066,2.2042
2046,87.1285,4.95295,198.443375,1.55215579234648,84.0862746470009,90.1707253529991,2.2255
2047,98.39,5.17825,225.2154,1.73943128204622,94.9807146871894,101.799285312811,2.1927
2048,110.9495,5.52055,255.472625,1.90595533924229,107.213827535085,114.685172464915,2.1876
2049,124.1345,5.4321,281.2604,2.13586586952753,119.948202895726,128.320797104274,2.4191
2050,138.449,5.8193,304.3196,2.28878549870342,133.962980422541,142.935019577459,2.3881
