"Block","Area","Year","Mean","lower","upper","Density","DensityLO","DensityHI"
"S1",86.97,2026,0.398,0.398,0.398,0.00515120156375762,0.00457629067494538,0.00457629067494538
"S1",86.97,2027,0.176,0,0,0.0020581809819478,0,0
"S1",86.97,2028,0.064,0,0,0.00090835920432333,0,0
"S1",86.97,2029,0.048,0,0,0.000609405542140968,0,0
"S1",86.97,2030,0.021,0,0,0.000321950097734851,0,0
"S1",86.97,2031,0.016,0,0,0.000206967919972404,0,0
"S1",86.97,2032,0.006,0,0,9.19857422099575e-05,0,0
"S1",86.97,2033,0,0,0,0,0,0
"S1",86.97,2034,0,0,0,0,0,0
"S1",86.97,2035,0,0,0,0,0,0
"S1",86.97,2036,0,0,0,0,0,0
"S1",86.97,2037,0,0,0,0,0,0
"S1",86.97,2038,0,0,0,0,0,0
"S1",86.97,2039,0,0,0,0,0,0
"S1",86.97,2040,0.001,0,0,1.14982177762447e-05,0,0
"S1",86.97,2041,0.001,0,0,1.14982177762447e-05,0,0
"S1",86.97,2042,0.002,0,0,2.29964355524894e-05,0,0
"S1",86.97,2043,0.004,0,0,4.59928711049787e-05,0,0
"S1",86.97,2044,0.003,0,0,3.4494653328734e-05,0,0
"S1",86.97,2045,0.004,0,0,4.59928711049787e-05,0,0
"S1",86.97,2046,0.003,0,0,3.4494653328734e-05,0,0
"S1",86.97,2047,0.002,0,0,2.29964355524894e-05,0,0
"S1",86.97,2048,0.002,0,0,2.29964355524894e-05,0,0
"S1",86.97,2049,0.002,0,0,2.29964355524894e-05,0,0
"S1",86.97,2050,0.003,0,0,3.4494653328734e-05,0,0
"S2",55.323,2026,0.437,0.437,0.437,0.008712470401099,0.00789906548813333,0.00789906548813333
"S2",55.323,2027,0.24,0,2,0.00432008387108436,0,0.0361513294651411
"S2",55.323,2028,0.127,0,0,0.00242213907416445,0,0
"S2",55.323,2029,0.078,0,0,0.00101223722502395,0,0
"S2",55.323,2030,0.019,0,0,0.000361513294651411,0,0
"S2",55.323,2031,0.009,0,0,0.000162680982593135,0,0
