"campus","method","survey_year","year","month","day","site","location","zone","transect","classcode","count","size","disease","depth","observer","notes","site_name_old"
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"ANDREW_MOLERA_OLD_DC","RANDOM","MID","1","HALRUF",1,20,NA,NA,"NATALIE BOLLINGER",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"ANDREW_MOLERA_OLD_DC","RANDOM","MID","2","HALRUF",1,19,NA,NA,"NATALIE BOLLINGER",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BIG_CREEK_DC","RANDOM","INNER","2","HALWAL",1,15,NA,5.5,"CAROLINE ENGEL",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BIG_CREEK_DC","RANDOM","MID","2","HALWAL",1,12,NA,NA,"CAROLINE ENGEL",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","INNER","1","STRPUR",1,6,NA,5,"JAMIE BARLOW",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","INNER","1","STRPUR",1,6,NA,5,"JAMIE BARLOW",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","INNER","1","STRPUR",1,4,NA,5,"JAMIE BARLOW",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","INNER","2","HALRUF",1,8,NA,6.1,"JAMIE BARLOW",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","INNER","2","STRPUR",3,4,NA,6.1,"JAMIE BARLOW",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","INNER","2","STRPUR",1,3,NA,6.1,"JAMIE BARLOW",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","INNER","2","STRPUR",1,5,NA,6.1,"JAMIE BARLOW",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","INNER","2","STRPUR",1,6,NA,6.1,"JAMIE BARLOW",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","INNER","2","STRPUR",1,5,NA,6.1,"JAMIE BARLOW",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","INNER","2","STRPUR",1,5,NA,6.1,"JAMIE BARLOW",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","MID","1","HALRUF",1,12,NA,11.3,"NATALIE BOLLINGER",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","MID","1","HALRUF",1,12,NA,11.3,"NATALIE BOLLINGER",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","MID","1","HALRUF",1,17,NA,11.3,"NATALIE BOLLINGER",NA,NA
"UCSC","SBTL_ROVINGDIVERSIZEFREQ",2003,2003,7,13,"BLUEFISH_DC","RANDOM","MID","1","HALRUF",1,15,NA,11.3,"NATALIE BOLLINGER",NA,NA
