deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
1993-11-11,1994-01-08,.,BBYX00,exposed,int_low,tuffy,1,1,47,1,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_low,tuffy,1,1,49,7,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_low,tuffy,2,1,47,2,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_low,tuffy,2,1,49,14,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_low,tuffy,3,1,47,0,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_low,tuffy,3,1,49,14,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_low,tuffy,4,1,47,0,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_low,tuffy,4,1,49,9,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_low,tuffy,5,1,47,0,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_low,tuffy,5,1,49,5,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_mid,tuffy,1,1,47,1,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_mid,tuffy,1,1,49,12,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_mid,tuffy,2,1,47,0,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_mid,tuffy,2,1,49,22,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_mid,tuffy,3,1,47,1,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_mid,tuffy,3,1,49,24,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_mid,tuffy,4,1,47,0,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_mid,tuffy,4,1,49,10,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_mid,tuffy,5,1,47,0,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,exposed,int_mid,tuffy,5,1,49,8,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_low,tuffy,1,1,47,0,2,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_low,tuffy,1,1,49,5,2,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_low,tuffy,2,1,47,2,2,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_low,tuffy,2,1,49,5,2,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_low,tuffy,3,1,47,1,2,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_low,tuffy,3,1,49,5,2,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_low,tuffy,4,1,47,0,2,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_low,tuffy,4,1,49,2,2,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_low,tuffy,5,1,47,0,2,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_low,tuffy,5,1,49,0,2,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_mid,tuffy,1,1,47,2,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_mid,tuffy,1,1,49,12,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_mid,tuffy,2,1,47,1,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_mid,tuffy,2,1,49,13,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_mid,tuffy,3,1,47,1,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_mid,tuffy,3,1,49,11,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_mid,tuffy,4,1,47,0,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_mid,tuffy,4,1,49,7,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_mid,tuffy,5,1,47,0,1,UNK,.,
1993-11-11,1994-01-08,.,BBYX00,protected,int_mid,tuffy,5,1,49,11,1,UNK,.,
1993-11-12,1994-01-09,.,SHLN00,protected,int_low,tuffy,1,1,47,1,1,UNK,.,
1993-11-12,1994-01-09,.,SHLN00,protected,int_low,tuffy,1,1,49,24,1,UNK,.,
1993-11-12,1994-01-09,.,SHLN00,protected,int_low,tuffy,2,1,47,0,1,UNK,.,
1993-11-12,1994-01-09,.,SHLN00,protected,int_low,tuffy,2,1,49,25,1,UNK,.,
1993-11-12,1994-01-09,.,SHLN00,protected,int_low,tuffy,3,1,47,0,1,UNK,.,
1993-11-12,1994-01-09,.,SHLN00,protected,int_low,tuffy,3,1,49,22,1,UNK,.,
1993-11-12,1994-01-09,.,SHLN00,protected,int_low,tuffy,4,1,47,0,1,UNK,.,
1993-11-12,1994-01-09,.,SHLN00,protected,int_low,tuffy,4,1,49,15,1,UNK,.,
1993-11-12,1994-01-09,.,SHLN00,protected,int_low,tuffy,5,1,47,0,1,UNK,.,
1993-11-12,1994-01-09,.,SHLN00,protected,int_low,tuffy,5,1,49,26,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_low,tuffy,1,1,47,1,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_low,tuffy,1,1,49,33,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_low,tuffy,2,1,47,0,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_low,tuffy,2,1,49,23,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_low,tuffy,3,1,47,1,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_low,tuffy,3,1,49,28,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_low,tuffy,4,1,47,3,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_low,tuffy,4,1,49,13,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_low,tuffy,5,1,47,1,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_low,tuffy,5,1,49,10,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_mid,tuffy,1,1,47,1,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_mid,tuffy,1,1,49,29,1,UNK,.,
1993-11-12,1994-01-09,.,SHLX00,exposed,int_mid,tuffy,2,1,47,1,1,UNK,.,
