deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
1997-11-14,1998-01-09,.,BBYX00,exposed,int_low,tuffy,1,1,47,46,3,UNK,.,
1997-11-14,1998-01-09,.,BBYX00,exposed,int_low,tuffy,1,1,49,194,3,UNK,.,
1997-11-14,1998-01-09,.,BBYX00,exposed,int_low,tuffy,2,1,47,78,3,UNK,.,
1997-11-14,1998-01-09,.,BBYX00,exposed,int_low,tuffy,2,1,49,152,3,UNK,.,
1997-11-14,1998-01-09,.,BBYX00,exposed,int_low,tuffy,3,1,47,34,3,UNK,.,
1997-11-14,1998-01-09,.,BBYX00,exposed,int_low,tuffy,3,1,49,48,3,UNK,.,
1997-11-14,1998-01-09,.,BBYX00,exposed,int_low,tuffy,4,1,47,36,3,UNK,.,
1997-11-14,1998-01-09,.,BBYX00,exposed,int_low,tuffy,4,1,49,88,3,UNK,.,
1997-11-14,1998-01-11,.,YBHX00,exposed,int_mid,tuffy,1,1,47,358,3,UNK,.,
1997-11-14,1998-01-11,.,YBHX00,exposed,int_mid,tuffy,1,1,49,280,3,UNK,.,
1997-11-14,1998-01-11,.,YBHX00,exposed,int_mid,tuffy,2,1,47,108,3,UNK,.,
1997-11-14,1998-01-11,.,YBHX00,exposed,int_mid,tuffy,2,1,49,690,3,UNK,.,
1997-11-14,1998-01-11,.,YBHX00,exposed,int_mid,tuffy,3,1,47,318,3,UNK,.,
1997-11-14,1998-01-11,.,YBHX00,exposed,int_mid,tuffy,3,1,49,322,3,UNK,.,
1997-11-14,1998-01-11,.,YBHX00,exposed,int_mid,tuffy,4,1,47,168,3,UNK,.,
1997-11-14,1998-01-11,.,YBHX00,exposed,int_mid,tuffy,4,1,49,252,3,UNK,.,
1997-11-14,1998-01-11,.,YBHX00,exposed,int_mid,tuffy,5,1,47,326,3,UNK,.,
1997-11-14,1998-01-11,.,YBHX00,exposed,int_mid,tuffy,5,1,49,318,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,1,1,47,38,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,1,1,49,268,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,2,1,47,38,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,2,1,49,178,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,3,1,47,90,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,3,1,49,322,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,4,1,47,196,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,4,1,49,356,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,5,1,47,104,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,5,1,49,226,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,6,1,47,44,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,6,1,49,142,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,7,1,47,82,3,UNK,.,
1997-11-16,1998-01-01,.,FCKX00,exposed,int_mid,tuffy,7,1,49,264,3,UNK,.,
1997-12-11,1998-01-10,.,SHLX00,exposed,int_low,tuffy,1,1,47,24,3,UNK,.,
1997-12-11,1998-01-10,.,SHLX00,exposed,int_low,tuffy,1,1,49,72,3,UNK,.,
1997-12-11,1998-01-10,.,SHLX00,exposed,int_low,tuffy,2,1,47,42,3,UNK,.,
1997-12-11,1998-01-10,.,SHLX00,exposed,int_low,tuffy,2,1,49,56,3,UNK,.,
1997-12-11,1998-01-10,.,SHLX00,exposed,int_low,tuffy,3,1,47,86,3,UNK,.,
