"","Year","Average Number","Lower Estimate (CI)","Upper Estimate (CI)","Estimation Uncertainty (SE)","Lower 95% CI for the Mean","Upper 95% CI for the Mean"
"1",2026,8.85,8,9.052,0,8.85,8.85
"2",2027,9.475,6.90725,11.60475,0.126442025682072,9.22717362966314,9.72282637033686
"3",2028,8.715,5.417,12.15325,0.171381080482867,8.37909308225358,9.05090691774642
"4",2029,7.555,1.2355,11.13275,0.205888466423111,7.1514586058107,7.9585413941893
"5",2030,6.04,0,10.01825,0.282356175956911,5.48658189512445,6.59341810487555
"6",2031,4.925,0,9.4685,0.331844797604196,4.27458419669578,5.57541580330422
"7",2032,3.645,0,8.7505,0.322737955435657,3.01243360734611,4.27756639265389
"8",2033,2.535,0,7.64425,0.277093044942589,1.99189763191253,3.07810236808747
"9",2034,1.465,0,7.05725,0.243410448552741,0.987915520836628,1.94208447916337
"10",2035,1.12,0,7.2775,0.213541068365755,0.701459506003121,1.53854049399688
"11",2036,1.07,0,8.76824999999999,0.258265386958861,0.563799841560633,1.57620015843937
"12",2037,1.25,0,10.2045,0.310819883533856,0.640793028273642,1.85920697172636
"13",2038,1.375,0,12.006,0.330508316801177,0.727203699069692,2.02279630093031
"14",2039,1.51,0,14.40025,0.377248129902789,0.770593665390534,2.24940633460947
"15",2040,1.795,0,15.39075,0.422580289424508,0.966742632727964,2.62325736727204
"16",2041,1.795,0,17.26075,0.439853637272925,0.932886870945066,2.65711312905493
"17",2042,1.885,0,19.33675,0.501358507991391,0.902337324336874,2.86766267566313
"18",2043,2.155,0,20.9545,0.607973110450045,0.963372703517911,3.34662729648209
"19",2044,2.34,0,24.06125,0.677260345626094,1.01256972257286,3.66743027742714
"20",2045,2.55,0,25.97675,0.805439957571342,0.971337683160169,4.12866231683983
"21",2046,2.96,0,30.06475,0.858991068967342,1.27637750482401,4.64362249517599
"22",2047,3.425,0,35.63875,1.02592129573886,1.41419426035183,5.43580573964817
"23",2048,3.54,0,41.70375,1.0574192855507,1.46745820032063,5.61254179967936
"24",2049,3.94,0,46.46125,1.44944535194771,1.09908711018248,6.78091288981752
"25",2050,4.405,0,54.5737499999999,1.49063762033283,1.48335026414766,7.32664973585234
"26",2051,5.37,0,61.6769999999999,1.54640814192571,2.3390400418256,8.4009599581744
"27",2052,6.245,0,69.8259999999999,2.02064500153348,2.28453579699439,10.2054642030056
"28",2053,6.68,0,80.4887499999999,2.05792555155855,2.64646591894523,10.7135340810548
"29",2054,7.73,0,89.4479999999999,2.69110585019796,2.45543253361199,13.004567466388
"30",2055,8.68,0,100.23,2.7849989119197,3.22140213263738,14.1385978673626
"31",2056,9.44,0,114.323,3.33194529281971,2.90938722607337,15.9706127739266
"32",2057,10.435,0,127.10125,4.04578017347967,2.50527085997984,18.3647291400202
"33",2058,12.015,0,141.1915,3.77178620172395,4.62229904462107,19.4077009553789
"34",2059,12.94,0,167.51225,4.44310042809539,4.23152316093304,21.648476839067
"35",2060,14.285,0,180.458,4.61288388400063,5.24374758735877,23.3262524126412
"36",2061,16.465,0,197.69825,4.19996329349039,8.23307194475883,24.6969280552412
"37",2062,18.195,0,233.41,5.66954326630328,7.08269519804558,29.3073048019544
"38",2063,19.385,0,221.227,6.25522670422201,7.12475565972486,31.6452443402751
"39",2064,22.365,0,242.75975,6.71374241102652,9.20606487438803,35.523935125612
"40",2065,23.415,0,270.77225,7.27598499007231,9.15406941945827,37.6759305805417
