"Block","Area","Year","Mean","lower","upper","Density","DensityLO","DensityHI"
"S1",86.97,2021,0.107,0.107,0.107,0.000988846728757043,0.00123030930205818,0.00123030930205818
"S1",86.97,2022,0.076,0,0,0.000689893066574681,0,0
"S1",86.97,2023,0.034,0,0,0.000252960791077383,0,0
"S1",86.97,2024,0.03,0,0,0.000206967919972404,0,0
"S1",86.97,2025,0.024,0,0,0.000137978613314936,0,0
"S1",86.97,2026,0.02,0,0,0.000114982177762447,0,0
"S1",86.97,2027,0,0,0,0,0,0
"S1",86.97,2028,0,0,0,0,0,0
"S1",86.97,2029,0,0,0,0,0,0
"S1",86.97,2030,0,0,0,0,0,0
"S1",86.97,2031,0,0,0,0,0,0
"S1",86.97,2032,0,0,0,0,0,0
"S1",86.97,2033,0,0,0,0,0,0
"S1",86.97,2034,0,0,0,0,0,0
"S1",86.97,2035,0,0,0,0,0,0
"S1",86.97,2036,0,0,0,0,0,0
"S1",86.97,2037,0,0,0,0,0,0
"S1",86.97,2038,0,0,0,0,0,0
"S1",86.97,2039,0,0,0,0,0,0
"S1",86.97,2040,0,0,0,0,0,0
"S1",86.97,2041,0,0,0,0,0,0
"S1",86.97,2042,0,0,0,0,0,0
"S1",86.97,2043,0,0,0,0,0,0
"S1",86.97,2044,0,0,0,0,0,0
"S1",86.97,2045,0,0,0,0,0,0
"S1",86.97,2046,0,0,0,0,0,0
"S1",86.97,2047,0,0,0,0,0,0
"S1",86.97,2048,0,0,0,0,0,0
"S1",86.97,2049,0,0,0,0,0,0
"S1",86.97,2050,0,0,0,0,0,0
"S1",86.97,2051,0,0,0,0,0,0
"S1",86.97,2052,0,0,0,0,0,0
"S1",86.97,2053,0,0,0,0,0,0
"S1",86.97,2054,0,0,0,0,0,0
"S1",86.97,2055,0,0,0,0,0,0
"S2",55.323,2021,0.094,0.094,0.094,0.0020244744500479,0.00169911248486163,0.00169911248486163
"S2",55.323,2022,0.068,0,0,0.0014099018491405,0,0
"S2",55.323,2023,0.05,0,0,0.000867631907163386,0,0
"S2",55.323,2024,0.024,0,0,0.000433815953581693,0,0
"S2",55.323,2025,0.01,0,0,0.000180756647325705,0,0
"S2",55.323,2026,0.01,0,0,0.000180756647325705,0,0
"S2",55.323,2027,0.008,0,0,0.000144605317860564,0,0
"S2",55.323,2028,0.006,0,0,0.000108453988395423,0,0
"S2",55.323,2029,0,0,0,0,0,0
"S2",55.323,2030,0,0,0,0,0,0
"S2",55.323,2031,0,0,0,0,0,0
"S2",55.323,2032,0,0,0,0,0,0
"S2",55.323,2033,0,0,0,0,0,0
"S2",55.323,2034,0,0,0,0,0,0
"S2",55.323,2035,0,0,0,0,0,0
"S2",55.323,2036,0,0,0,0,0,0
"S2",55.323,2037,0,0,0,0,0,0
"S2",55.323,2038,0,0,0,0,0,0
"S2",55.323,2039,0,0,0,0,0,0
"S2",55.323,2040,0,0,0,0,0,0
"S2",55.323,2041,0,0,0,0,0,0
"S2",55.323,2042,0,0,0,0,0,0
"S2",55.323,2043,0,0,0,0,0,0
"S2",55.323,2044,0,0,0,0,0,0
"S2",55.323,2045,0,0,0,0,0,0
"S2",55.323,2046,0,0,0,0,0,0
"S2",55.323,2047,0,0,0,0,0,0
"S2",55.323,2048,0,0,0,0,0,0
"S2",55.323,2049,0,0,0,0,0,0
"S2",55.323,2050,0,0,0,0,0,0
"S2",55.323,2051,0,0,0,0,0,0
"S2",55.323,2052,0,0,0,0,0,0
"S2",55.323,2053,0,0,0,0,0,0
"S2",55.323,2054,0,0,0,0,0,0
"S2",55.323,2055,0,0,0,0,0,0
"S3",90.694,2021,0.146,0.146,0.146,0.000815930491542991,0.00160980880763887,0.00160980880763887
"S3",90.694,2022,0.097,0,0,0.000529252210730589,0,0
"S3",90.694,2023,0.058,0,0,0.000220521754471079,0,0
"S3",90.694,2024,0,0,0,0,0,0
"S3",90.694,2025,0,0,0,0,0,0
"S3",90.694,2026,0,0,0,0,0,0
"S3",90.694,2027,0,0,0,0,0,0
"S3",90.694,2028,0,0,0,0,0,0
"S3",90.694,2029,0,0,0,0,0,0
"S3",90.694,2030,0,0,0,0,0,0
"S3",90.694,2031,0,0,0,0,0,0
"S3",90.694,2032,0,0,0,0,0,0
"S3",90.694,2033,0,0,0,0,0,0
"S3",90.694,2034,0,0,0,0,0,0
"S3",90.694,2035,0,0,0,0,0,0
"S3",90.694,2036,0,0,0,0,0,0
"S3",90.694,2037,0,0,0,0,0,0
"S3",90.694,2038,0,0,0,0,0,0
"S3",90.694,2039,0,0,0,0,0,0
"S3",90.694,2040,0,0,0,0,0,0
"S3",90.694,2041,0,0,0,0,0,0
"S3",90.694,2042,0,0,0,0,0,0
"S3",90.694,2043,0,0,0,0,0,0
"S3",90.694,2044,0,0,0,0,0,0
"S3",90.694,2045,0,0,0,0,0,0
"S3",90.694,2046,0,0,0,0,0,0
"S3",90.694,2047,0,0,0,0,0,0
"S3",90.694,2048,0,0,0,0,0,0
"S3",90.694,2049,0,0,0,0,0,0
"S3",90.694,2050,0,0,0,0,0,0
"S3",90.694,2051,0,0,0,0,0,0
"S3",90.694,2052,0,0,0,0,0,0
"S3",90.694,2053,0,0,0,0,0,0
"S3",90.694,2054,0,0,0,0,0,0
"S3",90.694,2055,0,0,0,0,0,0
"S4",181.742,2021,0.075,0.075,0.075,0.000737308932442694,0.000412672909949269,0.000412672909949269
"S4",181.742,2022,0.05,0,0,0.000484202881007142,0,0
"S4",181.742,2023,0.033,0,0,0.000231096829571591,0,0
"S4",181.742,2024,0.016,0,0,0.000176073774911688,0,0
"S4",181.742,2025,0.01,0,0,0.000110046109319805,0,0
