"Year","Mean","lower","upper","SEmean","CImeanLo","CImeanHi","ExtnctP"
2026,110.79,66.5207,147.402425,0,110.79,110.79,0
2027,81.5105,48.751175,113.687525,0.534204080793039,80.4634600016456,82.5575399983544,0
2028,66.807,39.03895,96.569125,0.460492903042764,65.9044339100362,67.7095660899638,0
2029,56.8395,31.923225,84.1829,0.432053709313705,55.9926747297451,57.6863252702549,0
2030,48.364,24.773175,73.67705,0.408679732351183,47.5629877245917,49.1650122754083,0.0967
2031,41.519,19.4335,64.681075,0.367370001493041,40.7989547970736,42.2390452029264,0.1016
2032,35.308,15.1093,55.88345,0.341336065162151,34.6389813122822,35.9770186877178,0.2035
2033,30.2095,10.761725,49.488025,0.305140162741514,29.6114252810266,30.8075747189734,0.3996
2034,26.2045,6.7289,45.2912,0.301823354444762,25.6129262252883,26.7960737747117,0.5999
2035,24.181,4.689725,47.5682,0.318807591188164,23.5561371212712,24.8058628787288,1.4998
2036,25.2395,2.584425,52.779775,0.389475250467506,24.4761285090837,26.0028714909163,2.1185
2037,28.1905,2.28135,60.499,0.443962939700858,27.3203326381863,29.0606673618137,2.273
2038,31.932,2.0582,69.501725,0.516250149629026,30.9201497067271,32.9438502932729,2.2972
2039,36.1155,1.80275,79.708075,0.588067737686832,34.9628872341338,37.2681127658662,2.4159
2040,40.6025,1.964725,89.53495,0.661874228867418,39.3052265114199,41.8997734885801,2.3808
2041,45.5975,1.51215,100.336,0.740449618107779,44.1462187485088,47.0487812514912,2.5124
2042,51.288,1.2813,114.69175,0.868114914176237,49.5864947682146,52.9895052317854,2.4994
2043,57.5425,1.091975,130.638725,1.00096665097313,55.5806053640927,59.5043946359073,2.7103
2044,64.0355,1.1289,142.523275,1.11327172475957,61.8534874194712,66.2175125805288,2.6855
2045,71.6315,1.079175,161.574775,1.17769470715558,69.3232183739751,73.9397816260249,2.8757
2046,79.8235,1.00905,177.012025,1.36508611519306,77.1479312142216,82.4990687857784,2.9822
2047,88.915,1.03875,194.32395,1.46572695622828,86.0421751657926,91.7878248342074,3.1094
2048,98.778,1.15715,221.220825,1.62879883596718,95.5855542815043,101.970445718496,3.2144
2049,110.097,1.27245,239.32975,1.8124768645032,106.544545345574,113.649454654426,3.2056
2050,122.1795,1.2224,260.452075,1.9291964336105,118.398274990123,125.960725009877,3.206
