"Block","Area","Year","Mean","lower","upper","Density","DensityLO","DensityHI"
"S1",86.97,2026,0.659,0.659,0.659,0.00717488789237668,0.00757732551454525,0.00757732551454525
"S1",86.97,2027,0.367,0,3,0.00438082097274922,0,0.034494653328734
"S1",86.97,2028,0.252,0,1,0.00300103483959986,0,0.0114982177762447
"S1",86.97,2029,0.143,0,0,0.00185121306197539,0,0
"S1",86.97,2030,0.104,0,0,0.00123030930205818,0,0
"S1",86.97,2031,0.083,0,0,0.00101184316430953,0,0
"S1",86.97,2032,0.057,0,0,0.000689893066574681,0,0
"S1",86.97,2033,0.037,0,0,0.000425434057721053,0,0
"S1",86.97,2034,0.021,0,0,0.000241462573301138,0,0
"S1",86.97,2035,0.023,0,0,0.000229964355524894,0,0
"S1",86.97,2036,0.024,0,0,0.000287455444406117,0,0
"S1",86.97,2037,0.03,0,0,0.000356444751063585,0,0
"S1",86.97,2038,0.038,0,0,0.000413935839944809,0,0
"S1",86.97,2039,0.061,0,0,0.0005404162354835,0,0
"S1",86.97,2040,0.068,0,0,0.0005404162354835,0,0
"S1",86.97,2041,0.092,0,0,0.000747384155455904,0,0
"S1",86.97,2042,0.101,0,1,0.000758882373232149,0,0.0114982177762447
"S1",86.97,2043,0.116,0,1,0.00103483959986202,0,0.0114982177762447
"S1",86.97,2044,0.144,0,1,0.0012878003909394,0,0.0114982177762447
"S1",86.97,2045,0.156,0,1,0.00142577900425434,0,0.0114982177762447
"S1",86.97,2046,0.151,0,1,0.00157525583534552,0,0.0114982177762447
"S1",86.97,2047,0.192,0,1,0.00180522019087042,0,0.0114982177762447
"S1",86.97,2048,0.201,0,1,0.00208117741750029,0,0.0114982177762447
"S1",86.97,2049,0.243,0,1.04999999999995,0.00247211682189261,0,0.0120731286650564
"S1",86.97,2050,0.291,0,2,0.00284005979073244,0,0.0229964355524894
"S2",55.323,2026,0.547,0.547,0.547,0.0102127505739024,0.00988738860871609,0.00988738860871609
"S2",55.323,2027,0.323,0,3,0.0061999530032717,0,0.0542269941977116
"S2",55.323,2028,0.208,0,0,0.00410317589429351,0,0
"S2",55.323,2029,0.163,0,0,0.00300056034560671,0,0
"S2",55.323,2030,0.11,0,0,0.0020244744500479,0,0
"S2",55.323,2031,0.071,0,0,0.00117491820761709,0,0
"S2",55.323,2032,0.036,0,0,0.000650723930372539,0,0
"S2",55.323,2033,0.018,0,0,0.000307286300453699,0,0
"S2",55.323,2034,0.025,0,0,0.000289210635721129,0,0
"S2",55.323,2035,0.016,0,0,0.000253059306255988,0,0
"S2",55.323,2036,0.031,0,0,0.000451891618314264,0,0
"S2",55.323,2037,0.048,0,0,0.000849556242430815,0,0
"S2",55.323,2038,0.074,0,1,0.00124722086654737,0,0.0180756647325705
"S2",55.323,2039,0.085,0,1,0.00146412884333821,0,0.0180756647325705
"S2",55.323,2040,0.114,0,1,0.00189794479691991,0,0.0180756647325705
"S2",55.323,2041,0.121,0,1,0.00211485277371075,0,0.0180756647325705
"S2",55.323,2042,0.134,0,1,0.00229560942103646,0,0.0180756647325705
"S2",55.323,2043,0.183,0,2,0.00289210635721129,0,0.0361513294651411
"S2",55.323,2044,0.208,0,2,0.0031270899987347,0,0.0361513294651411
"S2",55.323,2045,0.255,0,2,0.00383204092330495,0,0.0361513294651411
"S2",55.323,2046,0.383,0,2.04999999999995,0.00544077508450373,0,0.0370551127017688
"S2",55.323,2047,0.449,0,3,0.00674222294524881,0,0.0542269941977116
"S2",55.323,2048,0.555,0,4,0.00903783236628527,0,0.0723026589302822
"S2",55.323,2049,0.728,0,4,0.0112430634636589,0,0.0723026589302822
"S2",55.323,2050,0.987,0,5,0.0155992986642084,0,0.0903783236628527
"S3",90.694,2026,0.518,0.518,0.518,0.0057445917039716,0.00571151344080094,0.00571151344080094
"S3",90.694,2027,0.317,0,2,0.00362758286104924,0,0.0220521754471079
"S3",90.694,2028,0.169,0,0,0.0021059827551988,0,0
"S3",90.694,2029,0.088,0,0,0.00120184356186738,0,0
"S3",90.694,2030,0.07,0,0,0.000782852228372329,0,0
"S3",90.694,2031,0.054,0,0,0.000573356561624804,0,0
"S3",90.694,2032,0.02,0,0,0.000231547842194632,0,0
"S3",90.694,2033,0.013,0,0,0.000143339140406201,0,0
"S3",90.694,2034,0.014,0,0,0.000143339140406201,0,0
"S3",90.694,2035,0.032,0,0,0.000286678280812402,0,0
"S3",90.694,2036,0.063,0,0,0.000573356561624804,0,0
"S3",90.694,2037,0.09,0,1,0.000937217456502084,0,0.0110260877235539
"S3",90.694,2038,0.127,0,1,0.00132313052682647,0,0.0110260877235539
"S3",90.694,2039,0.166,0,1,0.0018193044743864,0,0.0110260877235539
"S3",90.694,2040,0.188,0,1,0.00226034798332856,0,0.0110260877235539
"S3",90.694,2041,0.287,0,2,0.00336295675568395,0,0.0220521754471079
"S3",90.694,2042,0.467,0,3,0.00536970472137076,0,0.0330782631706618
"S3",90.694,2043,0.791,0,4,0.00912960063510265,0,0.0441043508942157
"S3",90.694,2044,1.345,0,6,0.0146205923214325,0,0.0661565263413236
"S3",90.694,2045,2.086,0,8,0.0220852537102785,0,0.0882087017884314
"S3",90.694,2046,2.912,0,10,0.0305312369065208,0,0.110260877235539
"S3",90.694,2047,3.788,0,11,0.039671863629347,0,0.121286964959093
"S3",90.694,2048,4.683,0,13,0.0491101947207092,0,0.143339140406201
"S3",90.694,2049,5.627,0,14,0.0600039693915805,0,0.154365228129755
"S3",90.694,2050,6.686,0,15,0.0712395527818819,0,0.165391315853309
"S4",181.742,2026,0.632,0.632,0.632,0.00395615763004699,0.00347745705450584,0.00347745705450584
"S4",181.742,2027,0.377,0,4,0.00227245215745397,0,0.022009221863961
"S4",181.742,2028,0.265,0,1,0.00139758558836152,0,0.00550230546599025
"S4",181.742,2029,0.182,0,0,0.000907880401888391,0,0
"S4",181.742,2030,0.136,0,0,0.00067128126685081,0,0
"S4",181.742,2031,0.084,0,0,0.000385161382619318,0,0
"S4",181.742,2032,0.056,0,0,0.000269612967833522,0,0
"S4",181.742,2033,0.044,0,0,0.000203585302241639,0,0
"S4",181.742,2034,0.119,0,0,0.000473198270075161,0,0
"S4",181.742,2035,0.378,0,2,0.00192580691309659,0,0.0110046109319805
"S4",181.742,2036,0.929,0,4,0.0049685818357892,0,0.022009221863961
"S4",181.742,2037,1.721,0,6,0.00909531093528188,0,0.0330138327959415
"S4",181.742,2038,2.457,0,8,0.0129029063177471,0,0.044018443727922
"S4",181.742,2039,3.403,0,11,0.0175743636583729,0,0.0605253601258928
"S4",181.742,2040,4.319,0,12,0.022592466243356,0,0.066027665591883
"S4",181.742,2041,5.389,0,14,0.0280837670984142,0,0.0770322765238635
"S4",181.742,2042,6.565,0,15,0.0342353446093913,0,0.0825345819898538
"S4",181.742,2043,7.746,0,17,0.0405079728406202,0,0.0935391929218343
"S4",181.742,2044,8.815,0,19,0.0465274950204136,0,0.104543803853815
"S4",181.742,2045,10.181,0,22,0.0534824091294252,0,0.121050720251786
"S4",181.742,2046,11.319,0,23,0.0602172310197973,0,0.126553025717776
"S4",181.742,2047,12.62,0,26,0.0673317119873227,0,0.143059942115747
"S4",181.742,2048,14.423,0,31,0.0765480736428564,0,0.170571469445698
"S4",181.742,2049,16.069,1,35,0.0854342969704306,0.00550230546599025,0.192580691309659
"S4",181.742,2050,17.899,1,40,0.0949037646773998,0.00550230546599025,0.22009221863961
"S5",82.003,2026,48.02,48.02,48.02,0.579100764606173,0.58558833213419,0.58558833213419
"S5",82.003,2027,36.348,17.95,54,0.43752057851542,0.21889443069156,0.658512493445362
"S5",82.003,2028,30.465,14,46.05,0.367132909771594,0.170725461263612,0.561564820799239
"S5",82.003,2029,26.25,12.95,40,0.316573783885955,0.157921051668841,0.487787032181749
"S5",82.003,2030,22.797,10.95,35,0.275258222260161,0.133531700059754,0.426813653159031
"S5",82.003,2031,19.751,8,31,0.23854005341268,0.0975574064363499,0.378034949940856
"S5",82.003,2032,17.046,8,27,0.20619977317903,0.0975574064363499,0.329256246722681
"S5",82.003,2033,14.661,6,24,0.17707888735778,0.0731680548272624,0.29267221930905
"S5",82.003,2034,12.662,5,21,0.152982207968001,0.0609733790227187,0.256088191895418
"S5",82.003,2035,11.595,0,20,0.139141250929844,0,0.243893516090875
"S5",82.003,2036,11.601,0,21,0.138580295842835,0,0.256088191895418
"S5",82.003,2037,12.362,0,23,0.147640939965611,0,0.280477543504506
"S5",82.003,2038,13.374,0,25.05,0.160420960208773,0,0.30547662890382
"S5",82.003,2039,14.682,0,27,0.174505810763021,0,0.329256246722681
"S5",82.003,2040,16.1,1,31.05,0.190017438386401,0.0121946758045437,0.378644683731082
"S5",82.003,2041,17.665,1,34,0.208431398851262,0.0121946758045437,0.414618977354487
"S5",82.003,2042,19.24,1.95,38,0.226260014877504,0.0237796178188603,0.463397680572662
"S5",82.003,2043,20.776,2,42,0.245991000329256,0.0243893516090875,0.512176383790837
"S5",82.003,2044,22.643,2.95,45,0.269331609819153,0.0359742936234041,0.548760411204468
"S5",82.003,2045,24.699,4,48,0.292196626952672,0.0487787032181749,0.585344438618099
"S5",82.003,2046,27.007,3.95,54,0.320683389632087,0.0481689694279478,0.658512493445362
"S5",82.003,2047,29.826,4.95,59,0.354633367071936,0.0603636452324915,0.71948587246808
"S5",82.003,2048,32.701,6.95,64,0.386778532492714,0.084752996841579,0.780459251490799
"S5",82.003,2049,35.437,7.95,71,0.419533431703718,0.0969476726461227,0.865821982122605
"S5",82.003,2050,38.63,8.95,75,0.45810519127349,0.109142348450666,0.91460068534078
"S6",123.91,2026,47.9,47.9,47.9,0.382293600193689,0.386570898232588,0.386570898232588
"S6",123.91,2027,36.249,16,55,0.288540069405213,0.129125978532806,0.443870551206521
"S6",123.91,2028,30.387,13,47,0.24249858768461,0.104914857557905,0.379307561940118
"S6",123.91,2029,26.224,11,41,0.208627229440723,0.0887741102413042,0.330885319990316
"S6",123.91,2030,22.704,10,37,0.181115325639577,0.0807037365830038,0.298603825357114
"S6",123.91,2031,19.705,8.95,32,0.156775078686143,0.0722298442417884,0.258251957065612
"S6",123.91,2032,17.043,7.95,28,0.135727544185296,0.064159470583488,0.225970462432411
"S6",123.91,2033,14.604,6,24,0.116173028811234,0.0484222419498023,0.193688967799209
"S6",123.91,2034,12.779,5,22,0.10128318941167,0.0403518682915019,0.177548220482608
"S6",123.91,2035,11.826,4,22,0.09306754902752,0.0322814946332015,0.177548220482608
"S6",123.91,2036,11.899,1,22,0.0936001936889678,0.00807037365830038,0.177548220482608
"S6",123.91,2037,12.802,1,23,0.100032281494633,0.00807037365830038,0.185618594140909
"S6",123.91,2038,14.147,2,26,0.109369703817287,0.0161407473166008,0.20982971511581
"S6",123.91,2039,15.273,2,29,0.118965378097006,0.0161407473166008,0.234040836090711
"S6",123.91,2040,16.903,2,34,0.131191994189331,0.0161407473166008,0.274392704382213
"S6",123.91,2041,18.764,2,39,0.14496812202405,0.0161407473166008,0.314744572673715
"S6",123.91,2042,20.588,4,44,0.158994431442176,0.0322814946332015,0.355096440965217
"S6",123.91,2043,22.783,3.95,49,0.176894520216286,0.0318779759502865,0.395448309256719
"S6",123.91,2044,24.954,5,54,0.193890727140667,0.0403518682915019,0.43580017754822
"S6",123.91,2045,27.675,6,58,0.213776127834719,0.0484222419498023,0.468081672181422
"S6",123.91,2046,30.476,7.95,64,0.236139133241869,0.064159470583488,0.516503914131224
"S6",123.91,2047,33.798,9,71.05,0.262634169962069,0.0726333629247034,0.573400048422242
"S6",123.91,2048,37.631,10,80,0.29226051166169,0.0807037365830038,0.64562989266403
"S6",123.91,2049,41.19,10.95,88,0.32198369784521,0.0883705915583892,0.710192881930433
"S6",123.91,2050,45.46,12,97,0.354079573884271,0.0968444838996046,0.782826244855137
"S7",100.981,2026,0.324,0.324,0.324,0.00412948970598429,0.00320852437587269,0.00320852437587269
"S7",100.981,2027,0.187,0,0,0.00252522751804795,0,0
"S7",100.981,2028,0.14,0,0,0.0018023192481754,0,0
"S7",100.981,2029,0.072,0,0,0.00104970241926699,0,0
"S7",100.981,2030,0.035,0,0,0.000564462621681306,0,0
"S7",100.981,2031,0.023,0,0,0.000306988443370535,0,0
"S7",100.981,2032,0.018,0,0,0.000168348501203197,0,0
