"Year","Mean","lower","upper","SEmean","CImeanLo","CImeanHi","ExtnctP"
2026,118.508,81.565725,148.27695,0,118.508,118.508,0
2027,85.7825,56.3825,114.492125,0.484517200020924,84.832846287959,86.732153712041,0
2028,70.038,42.519475,96.845475,0.455612230855258,69.1450000275237,70.9309999724763,0
2029,59.227,32.509275,84.1959,0.426202156754776,58.3916437727606,60.0623562272394,0
2030,50.847,25.613675,74.586025,0.398634585056795,50.0656762132887,51.6283237867113,0
2031,43.505,19.764025,64.2039,0.366616851603796,42.7864309708566,44.2235690291434,0
2032,37.2335,14.6283,57.17845,0.337265234203293,36.5724601409615,37.8945398590385,0
2033,31.805,11.20855,49.277,0.310012608636348,31.1973752870728,32.4126247129272,0.0985
2034,27.3145,7.901225,45.409925,0.31525419210002,26.696601783484,27.932398216516,0.3141
2035,25.475,6.196975,48.5802,0.337159358796733,24.8141676567584,26.1358323432416,0.5914
2036,26.8495,4.671275,55.503975,0.431762267749107,26.0032459552117,27.6957540447882,1.2144
2037,29.92,3.9546,64.092075,0.49823165728436,28.9434659517227,30.8965340482773,1.606
2038,33.833,3.811275,73.66615,0.56863743609855,32.7184706252468,34.9475293747532,1.605
2039,38.3285,3.81185,83.78055,0.63626810945238,37.0814145054733,39.5755854945267,1.8231
2040,43.1255,3.49165,95.561125,0.741690272053408,41.6717870667753,44.5792129332247,1.8907
2041,48.408,3.2944,109.251925,0.861029515825748,46.7203821489815,50.0956178510185,2.1299
2042,54.072,3.043475,121.2665,0.949643922975577,52.2106979109679,55.9333020890321,2.2998
2043,60.455,2.99505,134.578625,1.04120748048476,58.4142333382499,62.4957666617501,2.4105
2044,67.62,3.21075,147.412325,1.20235948980233,65.2633753999874,69.9766246000126,2.43
2045,75.4725,3.48115,162.039,1.25848946057501,73.005860657273,77.939139342727,2.373
2046,83.5535,3.2128,173.73805,1.35253201520265,80.9025372502028,86.2044627497972,2.4126
2047,92.343,3.698475,193.8969,1.53237509320998,89.3395448173084,95.3464551826915,2.389
2048,102.3385,3.983675,216.1693,1.66759272501877,99.0700182589632,105.606981741037,2.4117
2049,112.6005,4.2525,233.93335,1.80869245761745,109.05546278307,116.14553721693,2.4204
2050,123.475,4.540225,257.53445,2.01922862245208,119.517311899994,127.432688100006,2.4901
