"Year","Mean","lower","upper","SEmean","CImeanLo","CImeanHi","ExtnctP"
2026,118.322,83.256125,147.869875,0,118.322,118.322,0
2027,85.321,56.373625,113.268475,0.47668941752023,84.3866887416604,86.2553112583396,0
2028,69.611,42.322825,96.5327,0.457414608643187,68.7144673670594,70.5075326329407,0
2029,59.059,32.317925,84.348025,0.40886041778611,58.2576335811392,59.8603664188608,0
2030,50.67,23.799975,74.0658,0.390486900696573,49.9046456746347,51.4353543253653,0
2031,43.661,18.6647,64.84305,0.373871838370486,42.9282111967938,44.3937888032062,0
2032,37.3825,14.39,56.8353,0.334527114916885,36.7268268547629,38.0381731452371,0.0975
2033,31.8605,11.036375,49.7393,0.299306720525871,31.2738588277693,32.4471411722307,0.0989
2034,27.5065,7.919725,46.706975,0.309163252531273,26.9005400250387,28.1124599749613,0.1025
2035,25.7165,6.34715,50.252375,0.342704311726999,25.0447995490151,26.3882004509849,0.498
2036,27.0775,5.17055,56.291575,0.427507406348103,26.2395854835577,27.9154145164423,1.0005
2037,29.858,4.483875,62.31175,0.507665160902927,28.8629762846303,30.8530237153697,1.604
2038,33.601,4.162475,69.44985,0.562103291428038,32.499277548801,34.702722451199,1.6921
2039,37.5785,4.66205,78.108075,0.639195486847652,36.3256768457786,38.8313231542214,1.873
2040,41.8705,4.56415,87.056575,0.714357944210363,40.4703584293477,43.2706415706523,2.015
2041,46.8875,5.2435,100.88445,0.786168383682848,45.3466099679816,48.4283900320184,1.9759
2042,52.2975,5.67455,112.3179,0.935491128189852,50.4639373887479,54.1310626112521,1.9981
2043,57.84,5.803725,123.280825,0.987015514151716,55.9054495922626,59.7745504077374,1.981
2044,64.175,6.311,134.821325,1.13417961099378,61.9520079624522,66.3979920375478,1.9951
2045,71.051,6.61445,151.004275,1.23428340693239,68.6318045224125,73.4701954775875,2.1041
2046,78.6025,6.985375,169.114025,1.37515166928508,75.9072027282012,81.2977972717987,2.1019
2047,86.786,7.218525,186.615575,1.50395621611668,83.8382458164113,89.7337541835887,2.1015
2048,95.7725,7.57035,202.765725,1.60580525547231,92.6251216992743,98.9198783007257,2.2031
2049,105.144,8.45195,224.002975,1.82296679702156,101.570985077838,108.717014922162,2.2385
2050,114.7735,8.470375,239.956175,1.88326528121862,111.082300048812,118.464699951188,2.2987
