id,long,lat,order,hole,piece,group,left,top,right,bottom,Segment,Estry,Region,Kdens_md,Kdens_mn,AREA,Kval_md,Kval_mn
1343,-124.6210223,42.86203018,8123,FALSE,1,1343.1,367018.6895,4747768.112,368173.39,4746768.112,S6,0,S,0.04326972,0.056984233,0.2,0.008654,0.011397
1344,-124.6265966,42.85605025,8272,FALSE,1,1344.1,367018.6895,4746768.112,368173.39,4745768.112,S6,0,S,0.056730803,0.08191955,0.7238,0.041062,0.059293
1345,-124.6274938,42.84843079,8284,FALSE,1,1345.1,367018.6895,4745768.112,368173.39,4744768.112,S6,0,S,0.056726933,0.12329166,0.8663,0.049143,0.106808
1346,-124.6272575,42.83942909,8291,FALSE,1,1346.1,367018.6895,4744768.112,368173.39,4743768.112,S6,0,S,0.215374023,0.198262112,0.8663,0.186579,0.171754
1347,-124.6270213,42.83042738,8298,FALSE,1,1347.1,367018.6895,4743768.112,368173.39,4742768.112,S6,0,S,0.219511971,0.224223783,0.8663,0.190163,0.194245
1348,-124.6267852,42.82142565,8305,FALSE,1,1348.1,367018.6895,4742768.112,368173.39,4741768.112,S6,0,S,0.299666792,0.331991664,0.8663,0.259601,0.287604
1349,-124.6265492,42.8124239,8312,FALSE,1,1349.1,367018.6895,4741768.112,368173.39,4740768.112,S6,0,S,0.472322285,0.434954039,0.8663,0.409173,0.376801
1350,-124.6263133,42.80342215,8319,FALSE,1,1350.1,367018.6895,4740768.112,368173.39,4739768.112,S6,0,S,0.386769742,0.393445611,0.8611,0.333047,0.338796
1351,-124.6260775,42.79442037,8341,FALSE,1,1351.1,367018.6895,4739768.112,368173.39,4738768.112,S6,0,S,0.339774311,0.373374902,0.8663,0.294346,0.323455
1352,-124.6258418,42.78541858,8348,FALSE,1,1352.1,367018.6895,4738768.112,368173.39,4737768.112,S6,0,S,0.358088046,0.368469847,0.8663,0.310212,0.319205
1353,-124.6256062,42.77641678,8355,FALSE,1,1353.1,367018.6895,4737768.112,368173.39,4736768.112,S6,0,S,0.480347782,0.521856218,0.8663,0.416125,0.452084
1354,-124.6253708,42.76741496,8362,FALSE,1,1354.1,367018.6895,4736768.112,368173.39,4735768.112,S6,0,S,0.659593344,0.692614623,0.8663,0.571406,0.600012
1355,-124.6121139,42.75993741,8369,FALSE,1,1355.1,367018.6895,4735768.112,368173.39,4734768.112,S6,0,S,0.420450866,0.313762226,0.3565,0.149891,0.111856
1820,-124.6079053,42.88472774,12471,FALSE,1,1820.1,367884.7149,4750268.112,369039.4154,4749268.112,S6,0,S,0.024128995,0.024753221,0.076,0.001834,0.001881
1821,-124.6121875,42.87566249,12479,FALSE,1,1821.1,367884.7149,4749268.112,369039.4154,4748268.112,S6,0,S,0.05041608,0.060027772,0.3759,0.018951,0.022564
1822,-124.6160908,42.86938333,12494,FALSE,1,1822.1,367884.7149,4748268.112,369039.4154,4747268.112,S6,0,S,0.10404896,0.105013407,0.7536,0.078411,0.079138
1823,-124.6172515,42.86208352,12502,FALSE,1,1823.1,367884.7149,4747268.112,369039.4154,4746268.112,S6,0,S,0.166197851,0.169564497,0.8663,0.143977,0.146894
