"Block","Area","Year","Mean","lower","upper","Density","DensityLO","DensityHI"
"S1",86.97,2026,0.409,0.409,0.409,0.00520869265263884,0.00470277107048407,0.00470277107048407
"S1",86.97,2027,0.175,0,1,0.00248361503966885,0,0.0114982177762447
"S1",86.97,2028,0.09,0,0,0.00110382890651949,0,0
"S1",86.97,2029,0.056,0,0,0.000632401977693458,0,0
"S1",86.97,2030,0.017,0,0,0.000310451879958606,0,0
"S1",86.97,2031,0.013,0,0,0.000229964355524894,0,0
"S1",86.97,2032,0.005,0,0,0.000114982177762447,0,0
"S1",86.97,2033,0,0,0,0,0,0
"S1",86.97,2034,0,0,0,0,0,0
"S1",86.97,2035,0,0,0,0,0,0
"S1",86.97,2036,0,0,0,0,0,0
"S1",86.97,2037,0,0,0,0,0,0
"S1",86.97,2038,0,0,0,0,0,0
"S1",86.97,2039,0,0,0,0,0,0
"S1",86.97,2040,0,0,0,0,0,0
"S1",86.97,2041,0,0,0,0,0,0
"S1",86.97,2042,0,0,0,0,0,0
"S1",86.97,2043,0.001,0,0,3.4494653328734e-05,0,0
"S1",86.97,2044,0,0,0,4.59928711049787e-05,0,0
"S1",86.97,2045,0,0,0,3.4494653328734e-05,0,0
"S1",86.97,2046,0,0,0,4.59928711049787e-05,0,0
"S1",86.97,2047,0,0,0,4.59928711049787e-05,0,0
"S1",86.97,2048,0,0,0,4.59928711049787e-05,0,0
"S1",86.97,2049,0.002,0,0,4.59928711049787e-05,0,0
"S1",86.97,2050,0.004,0,0,4.59928711049787e-05,0,0
"S2",55.323,2026,0.446,0.446,0.446,0.00889322704842471,0.00806174647072646,0.00806174647072646
"S2",55.323,2027,0.196,0,1,0.00394049491170038,0,0.0180756647325705
"S2",55.323,2028,0.092,0,0,0.00193409612638505,0,0
"S2",55.323,2029,0.05,0,0,0.000777253583500533,0,0
"S2",55.323,2030,0.023,0,0,0.000361513294651411,0,0
"S2",55.323,2031,0.022,0,0,0.000234983641523417,0,0
"S2",55.323,2032,0.021,0,0,0.000198832312058276,0,0
"S2",55.323,2033,0.018,0,0,0.000180756647325705,0,0
"S2",55.323,2034,0.015,0,0,0.000144605317860564,0,0
"S2",55.323,2035,0.013,0,0,0.000144605317860564,0,0
"S2",55.323,2036,0.001,0,0,7.23026589302822e-05,0,0
"S2",55.323,2037,0,0,0,7.23026589302822e-05,0,0
"S2",55.323,2038,0,0,0,7.23026589302822e-05,0,0
"S2",55.323,2039,0,0,0,7.23026589302822e-05,0,0
"S2",55.323,2040,0.003,0,0,0.000126529653127994,0,0
"S2",55.323,2041,0.002,0,0,0.000108453988395423,0,0
"S2",55.323,2042,0.004,0,0,0.000162680982593135,0,0
"S2",55.323,2043,0,0,0,9.03783236628527e-05,0,0
"S2",55.323,2044,0.002,0,0,0.000180756647325705,0,0
"S2",55.323,2045,0.001,0,0,0.000216907976790846,0,0
"S2",55.323,2046,0.004,0,0,0.000253059306255988,0,0
"S2",55.323,2047,0.011,0,0,0.000361513294651411,0,0
"S2",55.323,2048,0.009,0,0,0.000361513294651411,0,0
"S2",55.323,2049,0.01,0,0,0.000379588959383981,0,0
"S2",55.323,2050,0.018,0,0,0.000488042947779405,0,0
"S3",90.694,2026,0.263,0.263,0.263,0.00384810461552032,0.00289986107129468,0.00289986107129468
"S3",90.694,2027,0.127,0,0,0.00163186098308598,0,0
"S3",90.694,2028,0.074,0,0,0.00092619136877853,0,0
"S3",90.694,2029,0.037,0,0,0.000485147859836373,0,0
"S3",90.694,2030,0.01,0,0,9.92347895119853e-05,0,0
"S3",90.694,2031,0.008,0,0,6.61565263413236e-05,0,0
"S3",90.694,2032,0.006,0,0,3.30782631706618e-05,0,0
"S3",90.694,2033,0,0,0,0,0,0
"S3",90.694,2034,0,0,0,0,0,0
"S3",90.694,2035,0.003,0,0,2.20521754471079e-05,0,0
"S3",90.694,2036,0.005,0,0,4.41043508942157e-05,0,0
"S3",90.694,2037,0.005,0,0,5.51304386177696e-05,0,0
"S3",90.694,2038,0.007,0,0,6.61565263413236e-05,0,0
"S3",90.694,2039,0.008,0,0,8.82087017884314e-05,0,0
"S3",90.694,2040,0.008,0,0,0.000110260877235539,0,0
"S3",90.694,2041,0.011,0,0,0.000132313052682647,0,0
"S3",90.694,2042,0.01,0,0,0.000132313052682647,0,0
"S3",90.694,2043,0.01,0,0,0.000143339140406201,0,0
"S3",90.694,2044,0.007,0,0,0.000121286964959093,0,0
"S3",90.694,2045,0.011,0,0,0.000154365228129755,0,0
"S3",90.694,2046,0.015,0,0,0.000220521754471079,0,0
"S3",90.694,2047,0.017,0,0,0.000275652193088848,0,0
"S3",90.694,2048,0.021,0,0,0.000341808719430172,0,0
"S3",90.694,2049,0.034,0,0,0.000463095684389265,0,0
"S3",90.694,2050,0.037,0,0,0.000518226123007035,0,0
"S4",181.742,2026,0.493,0.493,0.493,0.0024815397651616,0.00271263659473319,0.00271263659473319
"S4",181.742,2027,0.242,0,2,0.00120500489705186,0,0.0110046109319805
"S4",181.742,2028,0.123,0,0,0.000572239768462986,0,0
"S4",181.742,2029,0.075,0,0,0.000302626800629464,0,0
"S4",181.742,2030,0.045,0,0,0.000187078385843669,0,0
"S4",181.742,2031,0.01,0,0,6.6027665591883e-05,0,0
"S4",181.742,2032,0.005,0,0,2.75115273299513e-05,0,0
"S4",181.742,2033,0,0,0,0,0,0
"S4",181.742,2034,0.002,0,0,1.10046109319805e-05,0,0
"S4",181.742,2035,0,0,0,5.50230546599025e-06,0,0
"S4",181.742,2036,0.001,0,0,2.2009221863961e-05,0,0
"S4",181.742,2037,0.002,0,0,2.75115273299513e-05,0,0
"S4",181.742,2038,0.003,0,0,3.30138327959415e-05,0,0
"S4",181.742,2039,0.002,0,0,2.2009221863961e-05,0,0
"S4",181.742,2040,0.005,0,0,6.05253601258928e-05,0,0
"S4",181.742,2041,0.006,0,0,6.6027665591883e-05,0,0
"S4",181.742,2042,0.011,0,0,8.8036887455844e-05,0,0
"S4",181.742,2043,0.02,0,0,0.000143059942115746,0,0
"S4",181.742,2044,0.035,0,0,0.000231096829571591,0,0
"S4",181.742,2045,0.041,0,0,0.000275115273299513,0,0
"S4",181.742,2046,0.048,0,0,0.000324636022493425,0,0
"S4",181.742,2047,0.078,0,1,0.00043468213181323,0,0.00550230546599025
"S4",181.742,2048,0.09,0,1,0.000500709797405113,0,0.00550230546599025
"S4",181.742,2049,0.11,0,1,0.000621760517656898,0,0.00550230546599025
"S4",181.742,2050,0.144,0,1,0.000841852736296508,0,0.00550230546599025
"S5",82.003,2026,0.878,0.878,0.878,0.00885333463409875,0.0107069253563894,0.0107069253563894
"S5",82.003,2027,0.421,0,3.04999999999995,0.00417057912515396,0,0.0371937612038578
"S5",82.003,2028,0.218,0,2,0.00219504164481787,0,0.0243893516090875
"S5",82.003,2029,0.139,0,0,0.00129263563528164,0,0
"S5",82.003,2030,0.072,0,0,0.000768264575686255,0,0
"S5",82.003,2031,0.041,0,0,0.000329256246722681,0,0
"S5",82.003,2032,0.027,0,0,0.0001951148128727,0,0
"S5",82.003,2033,0.008,0,0,9.75574064363499e-05,0,0
"S5",82.003,2034,0.005,0,0,4.87787032181749e-05,0,0
"S5",82.003,2035,0.009,0,0,9.75574064363499e-05,0,0
"S5",82.003,2036,0.015,0,0,0.000219504164481787,0,0
"S5",82.003,2037,0.033,0,0,0.000402424301549943,0,0
"S5",82.003,2038,0.043,0,0,0.000536565735399924,0,0
"S5",82.003,2039,0.044,0,0,0.000560955087009012,0,0
"S5",82.003,2040,0.064,0,0,0.000841432630513518,0,0
"S5",82.003,2041,0.083,0,1,0.000963379388558955,0,0.0121946758045437
