"year","deploy_date","collect_date","sample_month","site_code","exposure","zone","collector_type","replicate","proportion_sampled","count_classcode","count","method_code","sampler","notes"
1989,1989-07-04,1989-08-05,".","SHLX00","exposed","int_mid","tuffy",1,0.2,47,14,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","exposed","int_mid","tuffy",1,0.2,49,95,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","exposed","int_mid","tuffy",2,0.2,47,5,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","exposed","int_mid","tuffy",2,0.2,49,55,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","exposed","int_mid","tuffy",3,0.2,47,2,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","exposed","int_mid","tuffy",3,0.2,49,21,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","exposed","int_mid","tuffy",4,0.2,47,9,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","exposed","int_mid","tuffy",4,0.2,49,76,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","exposed","int_mid","tuffy",5,0.2,47,6,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","exposed","int_mid","tuffy",5,0.2,49,108,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","protected","int_mid","tuffy",1,1,47,1,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","protected","int_mid","tuffy",1,1,49,3,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","protected","int_mid","tuffy",2,1,47,5,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","protected","int_mid","tuffy",2,1,49,4,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","protected","int_mid","tuffy",3,1,47,4,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","protected","int_mid","tuffy",3,1,49,6,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","protected","int_mid","tuffy",4,1,47,0,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","protected","int_mid","tuffy",4,1,49,0,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","protected","int_mid","tuffy",5,1,47,0,1,"UNK",".,"
1989,1989-07-04,1989-08-05,".","SHLX00","protected","int_mid","tuffy",5,1,49,1,1,"UNK",".,"
1989,1989-07-05,1989-08-04,".","BBYX00","exposed","int_mid","tuffy",1,0.2,47,0,1,"UNK",".,"
1989,1989-07-05,1989-08-04,".","BBYX00","exposed","int_mid","tuffy",1,0.2,49,84,1,"UNK",".,"
1989,1989-07-05,1989-08-04,".","BBYX00","exposed","int_mid","tuffy",2,0.2,47,0,1,"UNK",".,"
