deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,1,1,12,3.50,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,1,1,47,2,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,1,1,49,97,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,1,1,50,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,1,1,62,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,1,1,70,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,2,1,12,1,13,KWoolven,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,2,1,47,4,13,KWoolven,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,2,1,49,111,13,KWoolven,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,2,1,50,0,13,KWoolven,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,2,1,62,0,13,KWoolven,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,2,1,70,0,13,KWoolven,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,3,1,12,4.50,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,3,1,47,28,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,3,1,49,144,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,3,1,50,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,3,1,62,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,3,1,70,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,4,1,12,3,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,4,1,47,12,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,4,1,49,326,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,4,1,50,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,4,1,62,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,4,1,70,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,5,1,12,0,13,LHunter,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,5,1,47,3,13,LHunter,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,5,1,49,132,13,LHunter,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,5,1,50,0,13,LHunter,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,5,1,62,0,13,LHunter,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_low,tuffy,5,1,70,0,13,LHunter,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,2,1,12,0.50,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,2,1,47,2,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,2,1,49,66,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,2,1,50,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,2,1,62,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,2,1,70,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,4,1,12,1,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,4,1,47,24,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,4,1,49,16,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,4,1,50,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,4,1,62,0,13,MDuncan,.,
2009-04-27,2010-05-17,.,BBYX00,exposed,int_mid,tuffy,4,1,70,0,13,MDuncan,.,
