deploy_date,collect_date,sample_month,site_code,exposure,zone,collector_type,replicate,proportion_sampled,count_classcode,count,method_code,sampler,notes
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,1,1,12,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,1,1,47,1,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,1,1,49,106,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,2,1,12,1,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,2,1,47,7,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,2,1,49,170,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,3,1,12,1,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,3,1,47,2,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,3,1,49,70,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,4,1,12,2,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,4,1,47,3,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-05,.,CBLX00,exposed,int_mid,tuffy,4,1,49,77,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,1,1,12,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,1,1,47,1,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,1,1,49,74,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,2,1,12,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,2,1,47,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,2,1,49,78,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,3,1,12,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,3,1,47,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,3,1,49,39,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,4,1,12,2,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,4,1,47,1,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,4,1,49,243,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,5,1,12,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,5,1,47,2,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLN00,exposed,int_mid,tuffy,5,1,49,52,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,1,1,12,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,1,1,47,2,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,1,1,49,50,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,2,1,12,1,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,2,1,47,2,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,2,1,49,19,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,3,1,12,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,3,1,47,1,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,3,1,49,72,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,4,1,12,2,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,4,1,47,1,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,4,1,49,95,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,5,1,12,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,5,1,47,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-25,2001-03-17,.,CBLS00,exposed,int_mid,tuffy,5,1,49,24,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,1,1,12,3,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,1,1,47,3,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,1,1,49,128,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,2,1,12,2,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,2,1,47,2,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,2,1,49,234,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,3,1,12,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,3,1,47,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,3,1,49,82,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,4,1,12,3,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,4,1,47,0,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,4,1,49,53,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,5,1,12,1,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,5,1,47,2,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-11-26,2001-05-05,.,RKPX00,exposed,int_mid,tuffy,5,1,49,14,5,UNK,Deploy_date_estimated-_cannot_confirm_from_field_notes,
2000-12-08,2001-04-05,.,CMEN00,exposed,int_mid,tuffy,1,1,49,25.50,5,UNK,.,
2000-12-08,2001-04-05,.,CMEN00,exposed,int_mid,tuffy,2,1,49,3,5,UNK,.,
2000-12-08,2001-04-05,.,CMEN00,exposed,int_mid,tuffy,3,1,49,7,5,UNK,.,
2000-12-08,2001-04-05,.,CMEN00,exposed,int_mid,tuffy,4,1,49,6,5,UNK,.,
2000-12-08,2001-04-05,.,CMEN00,exposed,int_mid,tuffy,5,1,49,15,5,UNK,.,
2000-12-08,2001-04-05,.,IFBRXX,exposed,int_mid,tuffy,1,1,49,188.50,5,UNK,.,
2000-12-08,2001-04-05,.,IFBRXX,exposed,int_mid,tuffy,2,1,49,108.50,5,UNK,.,
2000-12-08,2001-04-05,.,IFBRXX,exposed,int_mid,tuffy,3,1,49,50,5,UNK,.,
2000-12-08,2001-04-05,.,IFBRXX,exposed,int_mid,tuffy,4,1,49,22,5,UNK,.,
2000-12-08,2001-04-05,.,IFBRXX,exposed,int_mid,tuffy,5,1,49,36,5,UNK,.,
2000-12-08,2001-04-06,.,TRHX00,exposed,int_mid,tuffy,1,1,49,48,5,UNK,.,
2000-12-08,2001-04-06,.,TRHX00,exposed,int_mid,tuffy,2,1,49,108.50,5,UNK,.,
2000-12-08,2001-04-06,.,TRHX00,exposed,int_mid,tuffy,3,1,49,48.50,5,UNK,.,
2000-12-08,2001-04-06,.,TRHX00,exposed,int_mid,tuffy,4,1,49,120,5,UNK,.,
2000-12-08,2001-04-06,.,TRHX00,exposed,int_mid,tuffy,5,1,49,108,5,UNK,.,
